,Dates,Temperature_av,Wind_speed,Precipitation,Pressure,Heat_index
143,2015-05-24,14,8,0.0,1030,19
144,2015-05-25,14,7,0.0,1029,18
145,2015-05-26,14,10,0.0,1027,19
146,2015-05-27,14,6,0.0,1022,19
147,2015-05-28,16,8,0.0,1021,21
148,2015-05-29,17,14,0.2,1020,21
149,2015-05-30,15,9,0.0,1019,18
150,2015-05-31,13,12,0.0,1013,16
151,2015-06-01,12,30,0.0,1016,14
152,2015-06-02,11,23,0.0,1022,14
153,2015-06-03,12,13,0.0,1021,16
154,2015-06-04,12,6,0.0,1019,17
155,2015-06-05,12,14,0.0,1018,14
156,2015-06-06,14,8,0.1,1027,19
157,2015-06-07,15,13,0.0,1026,19
158,2015-06-08,16,19,0.0,1021,24
159,2015-06-09,17,10,0.0,1020,24
160,2015-06-10,14,21,0.6,1030,15
161,2015-06-11,15,12,0.4,1034,17
162,2015-06-12,15,6,0.1,1031,19
163,2015-06-13,15,10,0.0,1028,19
164,2015-06-14,15,6,0.0,1026,19
165,2015-06-15,16,11,0.6,1026,19
166,2015-06-16,16,19,2.2,1020,16
167,2015-06-17,16,16,0.6,1010,18
168,2015-06-18,14,15,0.8,1014,16
169,2015-06-19,12,25,1.3,1017,14
170,2015-06-20,12,19,0.0,1023,14
171,2015-06-21,12,10,0.0,1027,15
172,2015-06-22,13,10,0.0,1026,17
173,2015-06-23,13,14,0.0,1024,18
174,2015-06-24,16,11,0.0,1020,20
175,2015-06-25,15,22,2.3,1022,17
176,2015-06-26,14,10,0.0,1031,18
177,2015-06-27,13,4,0.0,1030,20
178,2015-06-28,13,10,0.0,1031,17
179,2015-06-29,14,5,0.0,1030,19
180,2015-06-30,14,5,0.0,1026,18
181,2015-07-01,12,10,0.0,1023,17
182,2015-07-02,11,26,0.0,1018,16
183,2015-07-03,11,17,0.0,1025,14
184,2015-07-04,10,10,0.0,1021,14
185,2015-07-05,11,5,0.0,1019,16
186,2015-07-06,11,14,0.0,1014,15
187,2015-07-07,11,22,0.0,1020,15
188,2015-07-08,12,11,0.4,1027,15
189,2015-07-09,12,3,0.0,1027,17
190,2015-07-10,12,11,0.1,1020,15
191,2015-07-11,12,11,0.0,1011,17
192,2015-07-12,11,32,0.0,1002,13
193,2015-07-13,11,34,0.4,1002,16
194,2015-07-14,11,19,0.0,1012,15
195,2015-07-15,9,3,0.0,1016,16
196,2015-07-16,10,11,3.0,1015,11
197,2015-07-17,10,40,2.3,1011,11
198,2015-07-18,11,26,0.5,1026,13
199,2015-07-19,12,18,0.0,1030,15
200,2015-07-20,13,12,0.0,1032,16
201,2015-07-21,13,15,0.0,1030,17
202,2015-07-22,14,16,0.0,1026,16
203,2015-07-23,14,5,0.0,1023,17
204,2015-07-24,15,10,0.0,1016,19
205,2015-07-25,15,13,0.0,1016,19
206,2015-07-26,14,22,0.0,1014,19
207,2015-07-27,10,21,0.0,1025,14
208,2015-07-28,12,15,0.0,1031,16
209,2015-07-29,13,7,0.0,1031,19
210,2015-07-30,13,16,0.0,1022,17
211,2015-07-31,13,8,0.0,1020,16
212,2015-08-01,15,18,0.0,1016,24
213,2015-08-02,17,21,0.1,1011,25
214,2015-08-03,13,20,0.0,1015,17
215,2015-08-04,10,10,0.0,1020,12
216,2015-08-05,10,26,0.0,1012,14
217,2015-08-06,11,21,0.0,1017,15
218,2015-08-07,11,14,0.0,1022,16
219,2015-08-08,12,19,0.0,1022,15
220,2015-08-09,13,3,0.0,1020,17
221,2015-08-10,14,9,0.0,1015,19
222,2015-08-11,14,11,0.0,1012,19
223,2015-08-12,12,30,0.0,1005,18
224,2015-08-13,13,18,0.0,1015,17
225,2015-08-14,13,9,0.0,1024,19
226,2015-08-15,13,16,0.1,1028,18
227,2015-08-16,14,8,0.0,1023,20
228,2015-08-17,14,16,0.0,1014,19
229,2015-08-18,12,16,0.0,1020,15
230,2015-08-19,13,7,0.0,1025,17
231,2015-08-20,15,12,0.0,1025,20
232,2015-08-21,16,14,0.0,1022,24
233,2015-08-22,19,13,0.0,1018,25
234,2015-08-23,17,12,0.7,1019,18
235,2015-08-24,16,12,0.9,1017,17
236,2015-08-25,16,29,0.1,1013,18
237,2015-08-26,16,17,0.2,1018,18
238,2015-08-27,15,11,0.0,1017,20
239,2015-08-28,14,18,0.0,1019,18
240,2015-08-29,14,6,0.0,1020,20
241,2015-08-30,13,15,0.0,1017,17
242,2015-08-31,13,15,0.0,1014,17
243,2015-09-01,12,15,0.0,1013,14
244,2015-09-02,14,11,0.6,1019,19
245,2015-09-03,15,21,0.0,1006,19
246,2015-09-04,16,22,0.4,1021,18
247,2015-09-05,16,17,0.5,1019,21
248,2015-09-06,16,18,1.2,1018,20
249,2015-09-07,16,15,0.0,1016,19
250,2015-09-08,14,14,0.0,1016,18
251,2015-09-09,14,14,0.0,1021,18
252,2015-09-10,15,19,0.0,1029,18
253,2015-09-11,17,12,0.0,1029,25
254,2015-09-12,17,4,0.0,1026,26
255,2015-09-13,18,11,0.0,1026,25
256,2015-09-14,18,21,0.0,1022,25
257,2015-09-15,20,23,0.0,1012,26
258,2015-09-16,16,9,0.0,1015,25
259,2015-09-17,16,13,0.1,1016,21
260,2015-09-18,16,14,0.0,1014,22
261,2015-09-19,16,15,0.0,1013,22
262,2015-09-20,16,16,0.1,1015,21
263,2015-09-21,17,10,0.0,1017,25
264,2015-09-22,15,28,0.7,1017,17
265,2015-09-23,13,40,0.2,1024,15
266,2015-09-24,13,34,0.7,1024,16
267,2015-09-25,15,28,0.8,1028,15
268,2015-09-26,15,19,0.2,1026,18
269,2015-09-27,15,22,0.3,1021,17
270,2015-09-28,16,8,0.0,1018,24
271,2015-09-29,17,13,0.0,1017,25
272,2015-09-30,17,18,0.0,1021,19
273,2015-10-01,20,10,0.0,1024,26
274,2015-10-02,19,13,0.0,1031,25
275,2015-10-03,21,9,0.0,1027,30
276,2015-10-04,23,14,0.0,1022,30
277,2015-10-05,24,1,0.0,1022,33
278,2015-10-06,24,16,0.0,1021,30
279,2015-10-07,19,28,0.0,1032,19
280,2015-10-08,18,19,0.2,1036,19
281,2015-10-09,19,17,0.0,1030,25
282,2015-10-10,19,14,0.0,1026,26
283,2015-10-11,20,12,0.0,1019,27
284,2015-10-12,21,6,0.1,1013,28
285,2015-10-13,19,15,0.9,1022,21
286,2015-10-14,19,22,0.0,1025,25
287,2015-10-15,20,19,0.0,1022,26
288,2015-10-16,22,18,0.0,1019,29
289,2015-10-17,21,13,0.0,1021,26
290,2015-10-18,19,13,0.0,1028,21
291,2015-10-19,21,19,0.0,1023,26
292,2015-10-20,22,15,0.0,1017,29
293,2015-10-21,23,10,0.0,1011,29
294,2015-10-22,19,22,2.3,1011,24
295,2015-10-23,17,18,0.0,1021,19
296,2015-10-24,17,18,0.0,1020,21
297,2015-10-25,19,20,0.0,1017,22
298,2015-10-26,22,10,0.0,1014,28
299,2015-10-27,17,29,0.2,1025,18
300,2015-10-28,18,14,0.0,1022,21
301,2015-10-29,18,15,0.0,1022,24
302,2015-10-30,19,19,0.0,1020,25
303,2015-10-31,19,22,0.0,1019,25
304,2015-11-01,21,21,0.6,1012,28
305,2015-11-02,22,7,0.2,1010,28
306,2015-11-03,19,18,0.4,1017,19
307,2015-11-04,19,27,2.0,1016,19
308,2015-11-05,19,28,1.6,1011,20
309,2015-11-06,22,8,0.0,1006,28
310,2015-11-07,19,18,0.9,1012,25
311,2015-11-08,18,22,0.4,1020,21
312,2015-11-09,19,11,0.0,1018,25
313,2015-11-10,20,15,0.0,1014,26
314,2015-11-11,20,15,0.3,1020,25
315,2015-11-12,20,18,0.3,1018,25
316,2015-11-13,21,8,3.7,1011,27
317,2015-11-14,18,14,2.6,1013,20
318,2015-11-15,17,22,0.5,1017,18
319,2015-11-16,18,13,0.0,1018,24
320,2015-11-17,19,18,0.0,1017,25
321,2015-11-18,24,14,0.0,1011,32
322,2015-11-19,25,12,0.0,1013,34
323,2015-11-20,28,17,0.0,1009,37
324,2015-11-21,20,23,0.3,1016,21
325,2015-11-22,20,17,0.0,1016,24
326,2015-11-23,20,25,0.0,1011,26
327,2015-11-24,21,19,0.0,1014,26
328,2015-11-25,23,18,0.0,1009,29
329,2015-11-26,26,30,0.0,1002,33
330,2015-11-27,19,13,0.4,1014,21
331,2015-11-28,20,19,0.5,1016,20
332,2015-11-29,22,16,1.4,1010,27
333,2015-11-30,21,14,0.0,1009,27
334,2015-12-01,26,17,0.0,1008,33
335,2015-12-02,19,31,0.2,1016,18
336,2015-12-03,18,16,0.2,1025,20
337,2015-12-04,18,12,0.0,1025,21
338,2015-12-05,20,17,0.0,1019,26
339,2015-12-06,21,14,0.0,1018,27
340,2015-12-07,21,18,0.0,1019,26
341,2015-12-08,22,18,0.0,1016,28
342,2015-12-09,25,10,0.0,1013,35
343,2015-12-10,22,12,0.1,1012,27
344,2015-12-11,25,15,0.0,1003,31
345,2015-12-12,19,18,0.1,1015,21
346,2015-12-13,21,22,0.2,1016,26
347,2015-12-14,22,11,0.0,1014,30
348,2015-12-15,23,20,0.0,1012,29
349,2015-12-16,22,26,9.3,1015,26
350,2015-12-17,22,17,0.1,1016,26
351,2015-12-18,23,14,0.0,1016,27
352,2015-12-19,21,19,0.2,1010,26
353,2015-12-20,22,18,0.1,1010,28
354,2015-12-21,21,25,0.5,1016,25
355,2015-12-22,19,12,4.7,1023,19
356,2015-12-23,20,19,0.5,1018,25
357,2015-12-24,20,19,0.2,1018,25
358,2015-12-25,21,18,0.0,1015,25
359,2015-12-26,22,25,0.0,1007,30
360,2015-12-27,19,28,0.0,1017,21
361,2015-12-28,18,19,0.5,1022,19
362,2015-12-29,22,19,0.0,1011,27
363,2015-12-30,19,13,0.0,1017,26
364,2015-12-31,21,14,0.0,1016,27
365,2016-01-01,21,16,0.0,1013,26
366,2016-01-02,21,14,0.0,1011,26
367,2016-01-03,21,20,1.3,1015,25
368,2016-01-04,20,18,1.7,1015,20
369,2016-01-05,22,16,0.2,1012,27
370,2016-01-06,19,31,5.5,1011,19
371,2016-01-07,20,32,0.7,1014,25
372,2016-01-08,21,10,0.0,1018,27
373,2016-01-09,22,10,0.0,1019,28
374,2016-01-10,22,15,0.0,1017,28
375,2016-01-11,26,14,0.0,1011,36
376,2016-01-12,26,27,0.0,1011,31
377,2016-01-13,24,14,0.0,1016,31
378,2016-01-14,26,11,0.0,1010,40
379,2016-01-15,18,31,0.2,1023,24
380,2016-01-16,20,18,0.2,1026,21
381,2016-01-17,20,14,0.0,1023,25
382,2016-01-18,22,12,0.0,1017,27
383,2016-01-19,25,13,0.0,1014,33
384,2016-01-20,27,12,0.0,1011,35
385,2016-01-21,27,16,2.0,1009,37
386,2016-01-22,24,4,0.0,1007,30
387,2016-01-23,23,26,0.5,1008,26
388,2016-01-24,22,11,0.0,1012,26
389,2016-01-25,23,13,0.2,1013,26
390,2016-01-26,23,13,2.2,1017,27
391,2016-01-27,22,18,1.1,1014,26
392,2016-01-28,23,11,0.0,1005,31
393,2016-01-29,24,14,1.9,1001,30
394,2016-01-30,24,10,0.0,1003,31
395,2016-01-31,24,14,0.0,1004,28
396,2016-02-01,22,7,0.0,1003,25
397,2016-02-02,21,12,0.0,1004,27
398,2016-02-03,23,9,0.0,1003,31
399,2016-02-04,21,35,0.2,1012,25
400,2016-02-05,22,28,0.2,1017,25
401,2016-02-06,22,18,0.3,1017,26
402,2016-02-07,22,11,0.2,1016,27
403,2016-02-08,23,13,0.0,1017,29
404,2016-02-09,22,19,0.0,1019,27
405,2016-02-10,23,15,0.0,1013,29
406,2016-02-11,23,15,0.0,1014,28
407,2016-02-12,24,15,0.1,1015,29
408,2016-02-13,24,17,0.0,1012,30
409,2016-02-14,25,10,0.0,1007,37
410,2016-02-15,24,3,0.2,1008,32
411,2016-02-16,22,24,0.1,1009,25
412,2016-02-17,20,13,0.0,1009,25
413,2016-02-18,22,11,0.0,1009,26
414,2016-02-19,24,14,0.0,1010,32
415,2016-02-20,24,22,0.1,1018,28
416,2016-02-21,24,15,0.7,1024,28
417,2016-02-22,24,16,0.0,1022,31
418,2016-02-23,24,18,0.0,1018,30
419,2016-02-24,25,19,0.0,1013,32
420,2016-02-25,28,12,0.0,1011,39
421,2016-02-26,24,24,0.1,1015,27
422,2016-02-27,23,19,0.2,1019,27
423,2016-02-28,23,10,0.0,1017,28
424,2016-02-29,23,12,0.5,1021,28
425,2016-03-01,23,14,0.1,1020,29
426,2016-03-02,24,18,0.0,1019,30
427,2016-03-03,25,22,0.0,1019,31
428,2016-03-04,23,19,0.0,1020,28
429,2016-03-05,23,18,0.0,1019,29
430,2016-03-06,23,21,0.0,1021,30
431,2016-03-07,24,16,0.0,1019,30
432,2016-03-08,24,19,0.0,1022,29
433,2016-03-09,25,17,0.0,1019,32
434,2016-03-10,24,17,0.0,1019,31
435,2016-03-11,25,18,0.0,1018,31
436,2016-03-12,25,17,0.0,1018,30
437,2016-03-13,24,18,0.0,1018,30
438,2016-03-14,24,10,0.0,1014,32
439,2016-03-15,23,23,1.1,1018,26
440,2016-03-16,22,19,0.2,1018,27
441,2016-03-17,22,14,2.3,1013,26
442,2016-03-18,23,23,0.4,998,30
443,2016-03-19,19,21,0.0,1011,24
444,2016-03-20,19,25,1.1,1016,24
445,2016-03-21,19,19,1.0,1017,24
446,2016-03-22,19,27,0.4,1015,25
447,2016-03-23,20,7,0.0,1017,27
448,2016-03-24,22,12,0.0,1019,27
449,2016-03-25,22,8,0.0,1017,27
450,2016-03-26,22,10,0.0,1017,27
451,2016-03-27,21,16,1.3,1017,26
452,2016-03-28,21,5,0.4,1016,26
453,2016-03-29,21,18,0.2,1016,25
454,2016-03-30,22,8,0.0,1013,27
455,2016-03-31,20,18,0.1,1016,25
456,2016-04-01,21,14,0.0,1016,27
457,2016-04-02,23,8,0.0,1015,29
458,2016-04-03,21,13,0.3,1022,25
459,2016-04-04,21,7,0.3,1020,26
460,2016-04-05,23,19,0.0,1017,28
461,2016-04-06,25,16,0.0,1014,32
462,2016-04-07,20,21,0.1,1022,20
463,2016-04-08,20,12,0.0,1021,25
464,2016-04-09,20,6,0.0,1019,29
465,2016-04-10,20,4,0.0,1017,26
466,2016-04-11,20,17,0.0,1016,25
467,2016-04-12,19,16,0.0,1022,24
