,Date,Temp,Wind,Precip,Pressure,Heat
115,2015-04-26,15.5,25.75,0.375,1016.5,20.5
116,2015-04-27,16,12,0.075,1020.75,21
117,2015-04-28,17.75,14.75,0.225,1018.25,22.25
118,2015-04-29,17.5,15,0.8,1024.5,21.25
119,2015-04-30,17.75,14.25,2.65,1022,20.75
120,2015-05-01,17.75,18.25,0.95,1019,20.25
121,2015-05-02,17.25,12,0.6,1015.25,21.5
122,2015-05-03,17.25,19,0.025,1013.5,22
123,2015-05-04,18,16,0,1013.5,21.75
124,2015-05-05,16.75,17.5,0,1013.25,21.25
125,2015-05-06,16,14,0.175,1018,21.75
126,2015-05-07,15.25,16.75,0.025,1020.75,21.25
127,2015-05-08,14.75,12.75,0.05,1020,21
128,2015-05-09,15.25,17.25,0.1,1018.25,20.75
129,2015-05-10,15.75,17,0.05,1015.5,21.5
130,2015-05-11,16.5,18.75,0,1017,21.75
131,2015-05-12,16,15,0,1018.25,21.5
132,2015-05-13,15,19.75,0,1022,19.5
133,2015-05-14,14,16.25,0.075,1026.75,19
134,2015-05-15,16.25,21,0.075,1027.25,20.25
135,2015-05-16,17.75,27.5,0,1026,19.25
136,2015-05-17,16.25,17.75,0,1023.5,19.5
137,2015-05-18,16.5,16.25,0.175,1022.25,20.5
138,2015-05-19,16,15.5,0.025,1017.5,19
139,2015-05-20,15.75,13,0,1019.5,20.75
140,2015-05-21,15.5,13.25,0.125,1020.75,19.25
141,2015-05-22,14.75,24,0.95,1020.75,18.5
142,2015-05-23,14,18.5,0.05,1024.25,18.5
143,2015-05-24,14.5,13.25,0,1026,20.25
144,2015-05-25,15,11.75,0.025,1026,20
145,2015-05-26,15,12,0,1024.5,20.25
146,2015-05-27,15,11.75,0.025,1021.25,19.75
147,2015-05-28,14.75,10,0,1020.75,20.5
148,2015-05-29,15.25,10,0.05,1022,20.5
149,2015-05-30,15,7.5,0,1021,20.75
150,2015-05-31,15,13,0,1016.75,19.75
151,2015-06-01,14,20.75,0,1018.25,18.25
152,2015-06-02,12.25,14.75,0,1020.5,16.5
153,2015-06-03,13.25,13.5,0,1020.5,17.25
154,2015-06-04,13.75,12,0.225,1019.25,20.25
155,2015-06-05,13.5,14.5,0,1019.75,18.5
156,2015-06-06,14.5,17.75,0.025,1024.25,19
157,2015-06-07,15.25,17.5,0,1024.25,20
158,2015-06-08,15,15.25,0.025,1022.75,21
159,2015-06-09,15.75,11.75,0,1023.5,21.75
160,2015-06-10,14.75,16.75,0.175,1027.5,19.5
161,2015-06-11,15.25,16,0.3,1028,19.25
162,2015-06-12,15.25,17,0.025,1026,18.5
163,2015-06-13,15,16,0.025,1024.25,19.25
164,2015-06-14,15,12.5,0.2,1023.25,18.75
165,2015-06-15,15.5,13,0.15,1022,19.75
166,2015-06-16,15.5,12.75,1,1018,19.5
167,2015-06-17,16.25,16.75,0.25,1013.25,19
168,2015-06-18,15.25,14.5,0.2,1015.25,18.5
169,2015-06-19,13.5,19.25,0.325,1017.5,17
170,2015-06-20,13.25,16,0,1019.75,16.75
171,2015-06-21,13,22.75,0,1020.25,15.25
172,2015-06-22,13.75,19.25,0.025,1022,17
173,2015-06-23,13,13.25,0.025,1023,17.75
174,2015-06-24,13.5,12.25,0.2,1023.75,17.75
175,2015-06-25,13.5,15.5,0.6,1024.25,17.5
176,2015-06-26,13.5,15.5,0.325,1028.75,17.75
177,2015-06-27,13,11.75,0.05,1029.5,18.5
178,2015-06-28,13.5,10.75,0.075,1029.75,19.5
179,2015-06-29,13.75,7.5,0.325,1028.25,19.25
180,2015-06-30,14,8.75,0,1025.5,19.25
181,2015-07-01,13.75,9.5,0.525,1024,18.5
182,2015-07-02,13.25,18.5,0.025,1021.75,17.5
183,2015-07-03,12.25,14.5,0,1023.75,16.25
184,2015-07-04,12.5,10.25,0,1021.25,16.75
185,2015-07-05,13.25,9.75,0,1019.5,17.5
186,2015-07-06,13.5,15.5,0.075,1016.75,18.25
187,2015-07-07,13.75,16,0.075,1019,16.75
188,2015-07-08,12.5,17,0.15,1024.25,15.75
189,2015-07-09,12,12,0.075,1024.25,17
