Temp,Wind,Precip,Pressure,Heat,Brightness,FRP,Count,month
21.5,17.5,0.4,1005.5,29,320.178125,32.00625,32,February
22,12.25,0.475,1009.25,28.25,320.5875,24.1625,24,February
21.5,20.5,0.5,1013,27,332.4681818,65.94545455,22,February
22,22.5,0.075,1013.75,27.25,324.7214286,28.94285714,28,February
22.75,19.25,0.075,1013.75,28.5,321.1,23.62727273,44,February
23.25,16,0.05,1014.5,30.25,326.0846154,79.76307692,65,February
23.75,13.5,0,1015.75,31.25,338.825,96.39125,160,February
24,20.5,0,1015.5,30.75,326.9352941,73.55764706,170,February
24.25,18.25,0,1012,31.25,334.7878505,74.37663551,107,February
23.5,17.75,0,1012.5,29.5,328.2222222,43.92136752,117,February
22.75,22,0.075,1013.75,28.5,328.7837662,76.81688312,154,February
22.25,22,0.4,1012.75,27.75,326.3794118,37.9254902,102,February
22,16,0,1011.75,30,329.6092784,37.64020619,97,February
22,15.5,0.075,1012.25,28.25,336.6240602,65.43759398,133,February
22.5,13.5,0.025,1012,29.25,336.0094444,94.51055556,180,February
22.75,14.75,0,1011.75,27.75,335.8191083,59.97515924,157,February
22,15.5,0.025,1010.75,28.25,326.8087719,44.50350877,171,February
22,18.5,0.225,1012.75,29.25,336.0028571,25.89428571,35,February
22.25,16,0.025,1016.25,27.75,323.8551724,62.04137931,29,February
23,18.5,0.175,1018.5,28.25,342.3852941,79.13823529,34,February
23.75,18.75,0,1018.75,29.5,340.020339,56.3779661,59,February
23,21,0,1015,29.25,311.55,15.825,4,February
21.5,19.25,0.1,1013.5,28.25,334.1902655,42.44247788,113,February
22,13.75,0,1015,29.5,328.1378788,55.16818182,66,February
22,14.75,0.025,1015.5,29,341.1361345,43.24117647,119,February
24,22,0.05,1015.25,29.75,337.127381,77.6,84,February
22.25,14.25,0.05,1016,28,331.3627451,40.92156863,51,February
21.75,17.5,0.125,1018,27.75,332.825,42.01818182,132,February
22.25,19.5,0.475,1017,28,327.7218623,56.03724696,247,March
22.75,17.25,0.325,1017.25,30,333.9751337,55.35213904,374,March
22.5,18,0,1017.75,28.75,335.8082278,72.76139241,316,March
22,18,0,1017.75,27.75,329.3638889,48.79537037,216,March
23.25,15,0,1017.75,30,334.916875,57.225,160,March
23.5,17.5,0.05,1017.75,30.5,334.45,52.35543478,92,March
23.25,16,0,1017.75,29,327.8755208,48.05625,192,March
24.5,15.5,0,1016.25,30.75,326.8557895,37.20842105,190,March
24,13.25,0.15,1016,31,332.1813084,29.41542056,214,March
23,17.5,0.275,1015.75,29.5,328.2257143,38.25285714,70,March
23,18.5,0,1016,30,330.297619,26.71785714,84,March
23.75,17.5,0,1016.75,30,331.4311927,54.96330275,109,March
24,15.5,0.75,1015.75,31,325.7245614,27.38421053,57,March
24.5,15,0,1014,30.25,332.1186916,54.01028037,107,March
23,18.5,0.275,1013.25,27.5,325.5395062,35.5962963,81,March
22.5,18.75,0.35,1013.25,28,329.2917031,37.03580786,229,March
22.5,17.5,0.575,1010.25,28.25,328.053304,61.74933921,227,March
21,17.25,0.1,1006.75,26.5,328.5666667,36.91515152,66,March
20.5,13.25,0.325,1011.25,25.25,322.637931,34.74310345,58,March
20.25,17.5,0.725,1014.5,27,320.1528736,20.38735632,87,March
20.75,15.5,0.9,1013.75,26.5,326.8783099,50.05211268,355,March
21.25,19.25,0.425,1013,26,332.1051339,48.57857143,448,March
20.75,12,0,1016.75,25.25,326.4733333,61.22727273,165,March
21,10.75,0,1019,26.75,339.5504274,63.36837607,117,March
20.75,10,0,1018.75,27,325.0959596,29.3020202,99,March
20.5,11,0.025,1018,25,328.3801802,26.45765766,111,March
19.75,13.5,1.1,1018,24.75,322.2393443,36.01803279,61,March
19.5,10.75,0.1,1018.25,25.75,323.994186,36.23139535,86,March
19.75,11.5,0.05,1019.5,25,330.9496032,40.73134921,252,March
20,8,0.1,1017.5,25.5,325.9211302,43.56289926,407,March
19.75,12.75,0.05,1016.25,26,327.2289528,41.44229979,487,March
20.75,15.5,0.05,1015.5,26.25,324.5175676,30.69459459,370,April
20.5,10.25,0.025,1018.5,26.5,327.3365789,64.14894737,380,April
20.25,10.75,0.075,1021,27.25,331.9797927,58.62556131,579,April
20.75,17,0.1,1017.75,25.75,328.4002783,65.94860853,1078,April
20.75,19.5,0,1017.25,25.5,333.4994424,55.38550186,538,April
19.5,16,0.025,1019.75,25.75,323.5575281,42.47977528,445,April
18.5,11.5,0.025,1021.75,23.5,329.2477459,45.43360656,488,April
19.25,9,0,1020.5,25,325.8745327,49.46401869,428,April
19.75,11.75,0,1020,25.75,328.1844706,67.48094118,425,April
19.75,13.25,0.025,1019.25,25.75,331.5985816,47.31897163,564,April
20.5,14.5,0,1019.75,24,329.3795953,46.44097808,593,April
19.75,14,0.15,1021,24,327.4153754,35.30953516,839,April
18.5,13.25,0.475,1020.5,21.25,330.3407267,43.35745647,1321,April
18.75,13.75,0.125,1015.75,24.25,330.0687675,48.90084034,714,April
18.75,13.25,0.125,1016.25,23.75,326.8546635,35.07142857,847,April
19,11.75,0.175,1017.75,24,329.8920245,49.81595092,326,April
18.5,12.5,0.275,1018.25,23.75,327.9509346,22.57476636,428,April
19,13.75,0.45,1017.5,24.25,332.5795154,67.730837,454,April
18.75,14.25,0.35,1017.75,23.25,325.5173601,40.34060258,697,April
18.25,14.25,0.65,1017.5,23.25,329.1914286,44.16142857,770,April
19.75,12.75,0.1,1021.75,26,326.009625,55.2905,800,April
18.75,14.75,0.05,1021.5,24.25,332.1535647,44.06454034,1066,April
18.75,17.25,0.225,1021.5,22.75,328.4196995,54.77829716,599,April
18.75,20,0.05,1022,24.25,328.7977421,33.75008913,1683,April
19.75,19.75,0.025,1022,24.25,328.99694,52.32607099,817,April
20.25,22.75,0.05,1020.5,23.75,325.159751,34.18443983,964,April
19.5,18.25,0.025,1018.75,23.25,327.6751634,54.32745098,612,April
19.25,17,0.025,1018.5,23.75,323.3297244,29.6734252,508,April
19.5,17.25,0.15,1016.5,23.25,328.59375,39.8325,240,April
19.25,15.5,0.125,1016.5,23.5,318.2970414,31.90650888,169,April
18,14.25,0.6,1016.25,22.75,324.8765217,41.36028986,345,May
17.75,15.5,0,1015.25,22.25,323.2933333,29.08181818,165,May
18.5,15.25,0.25,1012,23.5,320.3106918,28.47578616,318,May
17.75,11.75,0.025,1015,22.5,322.7014634,43.43195122,410,May
18.25,12,0,1015.75,23.75,325.0057922,39.50068143,587,May
17.75,8.5,0,1014.25,24,320.0332877,53.08287671,730,May
17.75,17,0,1014.25,23.5,321.0974874,26.05979899,199,May
17.5,15.25,0.1,1012.5,21.75,323.0666667,35.09130435,69,May
17.5,21.25,0.675,1008.5,20.5,332.6034091,54.21704545,88,May
18,17.5,0,1015,23,315.5306122,22.52993197,147,May
16.75,17.75,0,1017.25,21.5,317.1606965,31.12686567,201,May
16.75,19.25,0.075,1016.25,22.25,324.4355694,36.50967239,641,May
17,12.75,0,1019,22.5,320.8955224,33.71535181,469,May
17.25,11.75,0,1019.5,23.25,324.0363158,34.91298246,570,May
17.25,11.5,0,1017.5,22.75,323.5621469,44.62853107,354,May
16.75,10.75,0,1018,23.25,323.8032164,35.95730994,342,May
17.25,9.5,0,1018.25,22.5,325.2070254,48.1799701,669,May
17,8.75,0,1018.25,21.25,325.1236407,40.92836879,423,May
17,12.5,0.325,1019,20,325.037923,37.09871645,857,May
16.25,11,0.65,1018.25,20.5,324.1967262,52.20014881,672,May
16.25,12.75,0.25,1018,20.25,323.0478652,31.95033708,445,May
17.5,17.75,0.1,1017.5,23,321.4026059,35.80228013,307,May
17.25,15.5,0,1016.25,22,321.2679612,52.57281553,309,May
16,15.75,0,1014.75,19.75,319.6861619,31.3154047,383,May
14.5,12.75,0.075,1013,18.75,320.4697674,26.58372093,215,May
16.5,17.25,0.025,1010.75,19.5,324.1771044,26.31986532,297,May
17.25,24.75,0.3,1009.25,18.25,322.4297143,40.13314286,175,May
13.5,16.25,0.875,1012.75,14.25,318.2087805,25.87073171,205,May
12.75,10,0,1017.5,17.75,323.8197479,30.21806723,238,May
13.25,13,0,1021,18,321.0690625,36.74625,320,May
15,12.75,0.575,1023,19.5,324.9636782,39.87287356,435,May
15,13.75,0.25,1021.25,18.25,322.1691383,31.98376754,499,June
15,13,0.975,1021.5,19,325.6170825,33.45758157,521,June
15.5,12.5,0.275,1018.75,21,318.1457399,25.55515695,223,June
16,23.75,7.525,1012.5,17.75,324.2878125,27.2865625,320,June
14.25,28.75,2.55,1005,17,319.980303,27.15808081,198,June
13.25,26,0.125,1004.5,16,323.8498361,29.50065574,305,June
13.5,23,0.05,1009.5,16.25,328.0762712,37.40084746,472,June
13.75,18.75,0.15,1011.75,16.75,322.742623,28.97751756,427,June
14.5,19.25,0.1,1014.25,19,325.7827236,30.10345528,492,June
15.75,15.25,0.225,1020.5,19.5,322.6188011,43.6386921,367,June
16,14.25,0.05,1024,19.25,327.6414562,32.86864785,673,June
14,18.75,0.075,1028.75,17.75,320.9383197,43.65860656,488,June
14,14.25,0,1028.75,16.75,324.4585787,28.82395939,985,June
14.5,12.5,0.05,1028.75,19.5,325.9431319,40.61538462,364,June
15.5,11.5,0.125,1026.25,20.25,320.4466981,26.78915094,424,June
16,14.5,0.275,1019,17.5,326.2279743,33.12186495,311,June
15,14.25,0.3,1017.5,17.75,320.5270115,29.5137931,174,June
14.25,11.5,0.025,1017.75,19,326.2234432,41.50549451,273,June
15.25,20.25,1.2,1012.5,18.5,322.025,50.58693182,176,June
14.5,20.25,0.05,1006.25,17,327.2447307,33.47962529,427,June
14.25,20.25,0.425,1008,16.5,323.4569892,40.12204301,186,June
13.75,24.25,0.05,1011.25,17.25,323.3134276,28.34699647,283,June
13.5,15,1.325,1011.75,15.5,323.5819905,26.92796209,211,June
12.5,25,0,1012.5,16,321.3206107,30.99770992,131,June
11,17.5,0,1020,14.25,333.5915068,45.42794521,365,June
10.5,9.5,0,1018.75,15.25,315.6430108,26.77741935,93,June
11.5,18.25,0,1016.75,14.75,327.9138085,28.6454343,449,June
11.75,20.5,0,1020.5,16,321.7596542,42.24783862,347,June
12,16.75,0,1022.5,17,326.861707,37.66551326,867,June
12.5,16,0.3,1019.5,16.5,324.6648262,36.32719836,489,June
12.75,15,0,1021,17.5,323.8175134,42.20868984,748,July
12.5,9.5,0.05,1024.5,17.5,329.060782,39.49135071,844,July
12,12.5,0,1023.75,17,318.1202299,23.36781609,435,July
11.25,14.5,0.175,1019.5,15,329.094186,33.75182724,602,July
12.75,16,1.35,1015.5,15.5,321.4987692,56.47569231,325,July
11.75,20.25,0.125,1015,15.5,331.0985158,38.84632035,1617,July
12.5,17,0.275,1017.25,16.25,320.4769944,51.61669759,539,July
13,12.25,0.225,1016.25,16.25,325.4916596,31.40690817,1187,July
12.25,19,0,1017.75,15.5,326.5391621,43.46775956,549,July
13.25,16.5,0.1,1015.75,17,325.6711724,42.91213793,725,July
14.5,20,0.275,1013.75,17,327.3571918,29.01986301,292,July
13,24.25,0.425,1015.75,16.5,325.4484,38.93,250,July
11.5,21.25,0.05,1023.25,15,321.7527397,34.90410959,146,July
11.25,19.25,0.025,1025.75,14.75,319.6696203,36.38101266,158,July
12.25,15.75,0,1025.5,16.75,321.6733333,27.2936,375,July
14,19.75,0,1023.75,17,322.6371429,38.28392857,280,July
15.25,17.25,0,1022,17.5,320.5359589,31.41917808,292,July
13.25,13.75,0,1022.25,15,325.6866255,39.66563786,486,July
12.75,16.25,0.3,1017.75,16.25,321.2846868,32.22320186,431,July
13,18.75,0.075,1018.25,16.5,328.2367545,30.80194175,721,July
13,16.5,0.075,1019.5,16.5,323.1019934,52.13023256,301,July
13,15.5,0.25,1020,16.75,330.7915344,39.04585538,567,July
13.5,15.25,0.1,1020.25,17.25,323.2616901,39.95577465,355,July
13.75,14.75,0.25,1020.25,17,327.6215517,36.14862069,580,July
13.5,15.75,0.175,1019.5,17,327.3581006,42.19255121,537,July
13.5,13,0.075,1019.5,17.25,320.6309764,36.59461279,297,July
13.25,15.5,0.125,1020,17.25,330.9646259,44.13321995,882,July
13.75,8.75,0,1023,18.25,324.1493213,42.56651584,1105,July
13,13.5,0,1019.25,19,327.460685,32.70588235,1343,July
14,15,0,1017.75,19.25,322.4621212,40.75137741,726,July
14.5,15.5,0,1017.5,18.25,327.8351736,37.10845948,1123,July
12.75,10.25,0.225,1018.5,18.5,322.169289,38.72465961,661,August
13.25,19.25,0.425,1018.75,17.25,325.2123269,37.80124654,722,August
13,20,0.325,1018,14.5,326.2614424,33.79459085,721,August
12.5,17.5,0.05,1021.25,15.75,322.1128079,28.02019704,609,August
12.25,16.5,0.275,1024.75,16,326.9963072,35.61846381,677,August
12.75,16,0.2,1021.5,16.75,323.1367647,52.16823529,340,August
13,15.25,0.075,1020.75,17.25,327.6355042,29.54516807,476,August
13.75,14,0.025,1019.75,17,321.6178571,28.00714286,224,August
13.5,16.5,0.175,1017,17,321.3226257,25.7472067,358,August
14.25,17.5,0,1017.75,19.5,326.5390716,34.48510638,517,August
13.75,15.25,0.225,1019.5,18.5,325.3283186,43.05066372,452,August
12.75,13.75,0,1021.25,17.25,330.7219072,54.69742268,388,August
13,8,0.025,1023,18.75,320.7120823,30.61542416,389,August
13.5,11.75,0,1023.75,18.25,330.0789381,41.10460177,565,August
14.5,15.5,0.1,1024.25,19.25,322.3523511,36.06865204,319,August
15,18,0,1022.5,20.25,327.0942335,39.43684951,711,August
14.25,14.25,0.275,1018,19,331.7232422,53.80390625,512,August
14.75,19,0.175,1018.25,20.25,327.9116972,52.72591743,436,August
13.5,19.25,0.175,1017.75,17.75,327.1946237,47.71801075,372,August
13.5,18,0.225,1017.25,18,323.5961326,42.39558011,181,August
12.25,13,0,1017,17.5,322.4315789,26.95550239,209,August
12.25,13.25,0,1016.25,17.75,327.5067568,57.75912162,296,August
12.5,11.75,0.425,1016.25,18.25,329.761477,45.22674651,501,August
12.75,11,3.625,1014,15.5,327.2933962,50.48805031,318,August
12,18.25,0.025,1016,16,328.4787383,42.85957944,428,August
12.75,14.5,0.3,1016.5,17.25,326.3045093,48.97771883,377,August
12.25,16,0,1016,16.75,325.9209901,36.52376238,505,August
13.5,13.25,0,1017.5,19,329.8694215,45.91404959,484,August
14.25,12,0,1019.5,19.25,323.0608579,27.67265416,373,August
14.75,13,0,1019.75,18.25,321.7668831,31.52402597,154,August
14.5,14.5,0,1017.75,16,324.6382857,30.90742857,175,August
15.25,6.5,0.075,1018.75,22,326.9584615,28.78307692,130,September
14.75,14.75,1.2,1012.75,18,323.1700787,23.4007874,127,September
14.25,25,0.025,1013.75,19,322.9993056,28.58125,144,September
13.75,9,0,1022,20,318.9507614,27.01522843,197,September
14.25,13,0.025,1024.5,20.5,325.5782443,37.25534351,262,September
15.25,14.5,0.075,1022.5,21.25,328.1776699,46.90436893,206,September
16.25,20.25,0.025,1022.5,20.25,328.4355649,59.77280335,239,September
16.25,16.75,0.475,1022,20.5,327.7912088,31.42362637,182,September
15.25,19,0.15,1019.5,20.25,326.0638655,37.63109244,119,September
15.25,17.25,0.975,1017.75,19,329.1791667,43.05083333,120,September
13.75,9.25,0,1019.25,20,323.5362637,38.33241758,182,September
13.25,14,0.925,1021,19,328.7285714,37.20897959,245,September
14.25,11.5,0.175,1019.75,18.25,324.6310976,34.00243902,164,September
15,20.5,1.3,1014.5,19.75,321.9495413,26.32844037,109,September
14.75,20.25,0.05,1013.5,19,324.9463158,23.83263158,95,September
14.75,17.25,0.075,1018,19,322.9233333,35.34333333,60,September
14.5,12.25,0.025,1019.5,21.25,327.011875,39.001875,160,September
14,15,1.05,1013.25,16.25,326.347619,30.38412698,63,September
13.5,19.25,0,1012.75,18,330.5897959,31.57142857,49,September
14,8.5,0.2,1015.25,19,319.9015873,25.87936508,63,September
14.75,13.25,0.825,1014.25,18.25,323.7071429,44.43979592,98,September
13.75,18.5,0,1012.5,17.5,322.0669421,46.03884298,121,September
14.5,20.5,0,1011.5,19,327.5876972,56.95015773,317,September
14.5,11,0.2,1010.25,20,326.5217742,58.31693548,248,September
14.5,15.25,0.05,1011.5,19,335.1777372,78.4080292,274,September
14,11,0,1013.5,20.25,327.9114634,44.5797561,410,September
14.5,19.25,0,1011.5,19,323.0930159,34.55650794,315,September
14.25,13.25,0.1,1010.75,19.75,326.0433673,39.1252551,392,September
14,18,0.275,1001.75,19.75,336.1457286,57.43015075,199,September
14.5,27.5,0.075,1003.75,17,325.5076555,54.33923445,209,September
15.75,28.5,0,1007.75,18.5,325.3051887,49.98561321,424,October
15.75,16.25,0,1009.5,21,334.4164818,41.50063391,631,October
15.75,26.25,1.1,1008,20,336.1033493,50.02966507,209,October
15.25,21,0.05,1011.75,20,329.0645477,53.24743276,409,October
15,16.5,0,1015.25,21,329.1152027,63.73412162,592,October
18.5,15.75,0,1016,24.5,328.7151872,51.55048128,935,October
18.75,13.75,0,1016.25,25.25,332.6778634,79.86960352,908,October
18.25,17.5,0,1016,21.25,332.5478694,60.98821396,1103,October
17.5,25.75,0.1,1017,20.5,337.6725104,72.04190871,964,October
16.25,18.5,0.05,1016.25,22.25,335.2465497,75.90631579,855,October
14.75,16.75,0.125,1017.25,20.75,332.8211914,44.85419922,1024,October
15.75,9.5,0.05,1015.75,21.75,336.4778037,73.00693146,1284,October
15,18.25,0.05,1017.25,20.25,332.2795082,67.90983607,1098,October
15.75,19.5,0,1018.5,21,333.4932476,68.77299035,933,October
17.25,23,0,1016.75,22,335.7427562,66.6995583,1132,October
15.75,20.5,0.325,1014.75,20,332.5952264,65.82668299,817,October
15.25,21.75,0.7,1014.25,18.25,334.4560322,61.21112601,746,October
14.75,16,0.15,1016.25,20.5,331.0200351,44.02671353,569,October
14.5,11.25,0,1017.25,20.75,334.5074913,48.56689895,574,October
17.25,23,0.1,1017,22,327.3073874,40.37873874,555,October
15.75,17.75,0.05,1019,21.5,339.8614035,66.67039474,456,October
15,15,0.525,1017.75,21,326.3730769,45.80538462,390,October
15,16.75,0.025,1017.75,20.25,333.4133929,111.8696429,336,October
15,14.5,0,1016.5,20.5,330.2359551,50.69707865,445,October
17,15.25,0,1015,23,332.1407494,76.41522248,427,October
16.5,15,0.025,1016.5,22.25,330.2853774,60.02806604,424,October
16.25,16.75,0.025,1017.25,21.5,334.1953488,55.94800664,602,October
16,16.75,0.025,1016.5,21.5,340.537,66.19583333,600,October
18.75,22,0.35,1014.75,23.5,330.6367435,39.2204611,694,October
17.5,25.5,0.125,1014.25,22,336.1835443,42.65352622,553,October
16,16.25,0.025,1015,21.75,328.086087,46.15550725,690,October
16,9.25,0.375,1013,22.5,335.1570461,62.6004065,738,November
16.75,12.75,0,1014.5,23.5,331.6161919,57.11934033,667,November
17,14.25,0,1016.75,24.25,331.8998649,52.88432432,740,November
18.25,14.5,0,1014,26.5,335.6799616,53.47315436,1043,November
19,13.25,0,1012.25,26.25,335.7792821,61.81435897,975,November
18.5,14.25,0,1011.75,25.25,337.449675,84.1733519,1077,November
18.75,17.5,0,1010.75,24.75,335.7973199,63.2258794,1194,November
17.75,19.75,0,1011,23.75,334.735585,82.73088058,829,November
17.25,19.25,0.075,1011,22.75,334.6651671,56.19652956,778,November
17.5,14,0.025,1008.5,25.25,334.0741379,53.9306366,754,November
19,14.75,0.1,1009,24.25,332.2328834,47.0995092,815,November
18.5,20.75,0.175,1007.5,26,333.2207959,44.38793325,779,November
18.75,18.75,0.05,1007.25,25.75,335.1879837,50.91659878,982,November
19,17.25,0.075,1010,23,333.989845,61.68728682,1290,November
18.75,15.75,0,1013.5,23.25,337.2922481,60.27488372,1290,November
19,15.25,0,1016.25,23.75,332.3572646,55.48509229,2113,November
19.25,21,0.025,1019.25,24.5,338.0577528,71.68817978,2225,November
18.75,13,0,1016.75,27.5,330.814338,63.41574131,1639,November
18.75,16.75,0.15,1016.25,25.5,332.3095672,43.35337889,1317,November
20,18,0,1016.25,25.75,330.1752149,55.56590258,698,November
19.75,18.75,0.2,1015.25,26,331.4659794,44.90249141,1164,November
18.75,18.5,0.05,1015.5,25.5,336.4011189,60.24741259,715,November
19.25,15.75,0,1013.25,26.5,328.6186839,54.51915394,851,November
18.75,18.75,0,1014.25,25,339.152439,56.28875339,738,November
19,15,0,1015.5,25.5,326.6103522,56.2981857,937,November
20,16,0.275,1015.75,26.5,332.5025799,49.79103194,814,November
19.25,17.5,0.125,1015.75,25.75,333.7126697,53.92352941,442,November
20.25,17,0.025,1013.25,27,336.2063973,82.89882155,594,November
19,20.25,0,1012,26,337.2122244,95.51723447,499,November
19,19.75,0,1010.75,25.75,335.5883224,93.86101974,608,November
19,18,0,1009.25,27,337.2545455,70.91749311,726,December
20.25,15.75,0,1010.25,29,333.3204708,66.82620266,977,December
19.75,18.25,0,1012,26.5,346.9632294,100.9721023,1251,December
21.5,24,0,1011.25,28,331.3636243,58.9021164,756,December
20.25,18.75,0,1012.25,29,334.9461605,55.95685936,1159,December
19.75,16.5,0.35,1013,27,338.4079077,99.09522241,1214,December
20.5,18.25,0.175,1012.75,27.25,335.5417661,105.9143198,1257,December
20.25,19.5,0.075,1009.5,25.75,341.6150386,72.69113111,778,December
19.75,16.5,0.05,1013.75,25,332.8692308,57.66061538,650,December
20,18.5,0.1,1018,26,338.1948187,58.95492228,386,December
19.5,18.75,0.025,1017,26,343.6277108,241.8508434,415,December
22,19.5,0,1016.25,27.25,341.8663812,117.5297645,467,December
22.75,18.5,0,1014,29.25,331.7821277,69.91489362,235,December
21.5,15.5,0,1013.5,27.5,330.8260736,42.35184049,326,December
19.5,16.75,0.25,1014,25,333.2992218,49.60350195,257,December
20,15.25,1,1010.75,24.5,330.3166667,51.74761905,294,December
20.25,17.5,0,1011.25,27.25,335.7532544,64.31420118,169,December
19.25,17.25,1.325,1015.75,24.75,333.3980198,70.07673267,202,December
20.25,21,0.025,1013.5,25.5,334.7119835,65.83801653,242,December
20.5,15.25,0,1010.75,26.5,324.3144928,40.62753623,138,December
22.25,15,0,1011.5,30.25,332.2011583,55.86447876,259,December
21.25,18.25,0.175,1014.25,27.25,329.2337079,56.73707865,89,December
22,20.75,0.025,1011.5,28,330.4248677,95.95820106,189,December
22,19,0.025,1011.25,28.5,331.834375,34.384375,64,December
23.5,19,1.225,1012,29.25,330.0926829,40.87560976,41,December
22.75,18,0.25,1009.75,28,329.0833333,32,36,December
21.75,22.5,0.45,1009,26,332.2314607,91.73258427,89,December
21,20,0.025,1008.25,27,334.6318182,63.64727273,110,December
21.25,15,0,1007.5,27.5,329.9780702,54.55614035,114,December
21,18.75,0.15,1005.75,25.5,331.0586957,39.27934783,184,December
21,16.5,0.05,1007.25,29,329.025,39.35,96,December
22.5,17.25,0.05,1009,28.25,332.9309859,38.50140845,71,January
22.75,18,0.025,1012.25,29,336.8157895,49.90526316,19,January
23,17.75,0.625,1014,27.25,330.0282609,87.88695652,46,January
23.75,19.25,0.025,1013.5,29,331.7069767,36.72325581,43,January
23.25,15.5,0.275,1011.75,29,326.535,41.63,40,January
23.75,18.5,0.4,1011.75,27.5,317.592,18.516,25,January
24,22.5,0.05,1010,29.25,321.1828571,25.16,35,January
23,20.25,0,1010.5,27.75,324.8470588,29.23176471,85,January
23.75,14,0.025,1010.5,29.75,328.9771084,40.04457831,83,January
24.5,15.75,0,1010.5,31.5,320.2505495,25.18131868,91,January
24.25,13.75,0.125,1008.25,32,330.4134328,81.2119403,67,January
23.25,15.25,0.025,1009.25,29,325.0565789,60.21842105,76,January
23.5,19,0.3,1007.5,29.25,336.5568182,40.91704545,88,January
24.5,17,0.15,1009.25,31.5,319.7411765,24.49411765,17,January
23.5,15,0.675,1012.25,28.75,326.58,16.27,10,January
23.25,20,0,1012,29,324.9421053,32.10789474,38,January
25.5,13.75,0,1010.75,33.25,329.9165217,69.41565217,115,January
24.25,14.5,0,1009.75,30.5,325.8910256,37.11282051,78,January
22.75,16.25,0.075,1010,27,321.6453782,34.88487395,119,January
22.5,17.75,0.375,1005.25,28,336.6521739,40.70434783,92,January
22,19.25,2.925,1009.5,27.5,326.1304348,31.28043478,46,January
22.25,18.5,0.025,1012.25,26.75,322.5382353,18.58235294,34,January
22.75,20.25,0.15,1011.25,29.25,331.3988506,95.31149425,87,January
23,15.25,0,1013.25,31,327.3058394,27.87007299,137,January
23.25,10.5,0.225,1016.25,29,329.5688312,45.23636364,77,January
24,12.5,0,1014,30.25,334.9440476,74.73690476,84,January
24.25,14.5,0.5,1013,29.75,334.3145833,27.20625,48,January
25.25,15.5,0,1012,32.25,317.8454545,24.25454545,66,January
24.75,14,0,1013.75,29.75,325.3290909,29.68,55,January
24.25,17,0,1011.75,29,324.8364341,50.1248062,129,January
22.5,17.75,0,1012.75,27.75,335.7793478,36.52173913,92,January
22.25,10.5,0,1014,27.5,328.5011494,39.98965517,87,February
23.25,17.25,0.025,1014,29.25,329.0301205,47.05903614,83,February
24,14.25,0.025,1012,29.5,330.8909091,38.175,44,February
24.25,15,0.15,1010.25,31.25,327.5979592,35.76530612,49,February
25.25,15.25,0.275,1009.75,32.25,332.6555556,51.50555556,36,February
24,15.5,0,1010.75,29.75,323.0713043,24.83130435,115,February
23.5,17.75,1.525,1012.75,27.75,333.4868687,41.84949495,99,February
25.25,24.25,0.55,1014.25,30.5,330.0256098,53.67682927,82,February
24.5,22,0.125,1011,29.25,331.35,36.525,48,February
25.25,12.5,0,1008.5,34.25,326.21,32.0575,40,February
25.25,17.5,0,1008,35,326.4684211,36.97368421,114,February
24,19.75,0,1007.25,31.5,366.6272374,221.9747082,257,February
23,13,0,1010,30,325.1968254,59.68253968,126,February
23.25,17.75,0.275,1014.25,28.25,332.2038095,48.95333333,105,February
24,14,0.025,1012.25,28.5,321.4443299,27.3556701,97,February
23.5,14,0.025,1011.75,29.75,325.7565574,41.0057377,122,February
23.25,16,0.125,1012.5,29.25,328.1611465,48.22101911,157,February
22.75,18.75,0.125,1011.75,28,331.0301136,62.21306818,176,February
22.75,16,0.575,1010.5,28,335.5333333,71.80909091,66,February
20.75,11.75,0,1012.25,25,333.1808511,76.68652482,141,February
20.75,16.75,0,1016.5,25.75,332.3366667,64.6925,120,February
22.25,21.25,0,1017,26.75,332.9790123,68.2117284,162,February
22.25,14.25,0,1018.75,28.75,337.6822086,80.62822086,163,February
22.75,13.75,0.05,1019.5,28,334.0875706,82.06779661,177,February
23,15.5,0.15,1017.5,29.25,330.7754717,49.54811321,106,February
21.75,17,0.925,1016.5,26.75,335.9814286,47.63142857,70,February
23.25,14.75,1.1,1017.75,29,331.4011236,64.22640449,178,February
24.75,10,1.45,1016.25,32,333.7225806,57.0233871,124,February
25.75,12,0.575,1015.5,31.25,332.800995,49.80199005,201,March
24.75,12.75,0.325,1015.75,29.5,336.5090164,65.96721311,122,March
25,14.5,0.4,1015,30.75,336.4387097,41.55268817,93,March
24.25,17.25,0.425,1013,29.5,330.7746479,48.5943662,71,March
23.25,15.5,0.275,1011.5,29.5,333.4364865,80.63918919,74,March
22.75,18,0.05,1011.5,28.5,326.2347518,46.43829787,141,March
23,14.75,0.1,1013.25,29,333.6939759,53.64216867,166,March
23.5,13.75,0.05,1013,28,328.8142857,67.39571429,210,March
22.5,16.75,0.05,1013,27.75,328.7663317,46.93065327,199,March
22.25,15,0.05,1012.75,27.5,328.1040984,42.98852459,244,March
22.5,14.25,0.05,1011,27.75,329.9005319,58.3462766,188,March
22,16.5,1,1007.75,26.5,330.2466667,42.46666667,75,March
21.5,16,0.425,1012,25,319.0891892,38.57027027,74,March
22,19.5,1.375,1014.75,26,326.4470085,36.23846154,117,March
23.25,18.25,0.5,1014.5,27.75,323.111236,48.22846442,267,March
21.75,12.5,1.225,1013,26.75,327.5192698,45.88661258,493,March
20.75,17,0.1,1016,26,329.9245431,36.67584856,766,March
